id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,total_review_activity,days_since_last_review,is_available_all_year
7598,Manhattan,Chelsea,40.74553,-73.99784,Private room,200,1,1,2016-05-21,0.03,1,0,0.03,3481.0,0
7599,Brooklyn,Bushwick,40.7047,-73.9225,Private room,70,2,0,,,1,255,,,0
7600,Manhattan,SoHo,40.72761,-74.00902,Entire home/apt,150,7,9,2019-02-18,0.22,1,190,1.98,2478.0,0
7601,Brooklyn,Gowanus,40.67674,-73.99642,Private room,110,2,204,2019-07-05,6.19,1,41,1262.76,2341.0,0
7602,Bronx,Kingsbridge,40.88004,-73.9,Private room,79,3,45,2019-06-12,3.0,4,59,135.0,2364.0,0
7603,Queens,Long Island City,40.7483,-73.94531,Private room,71,7,102,2019-04-15,3.66,2,173,373.32,2422.0,0
7604,Brooklyn,Bushwick,40.68743,-73.91048,Entire home/apt,129,3,0,,,1,51,,,0
7605,Brooklyn,East Flatbush,40.64836,-73.94547,Private room,42,13,22,2019-05-25,0.75,3,267,16.5,2382.0,0
7606,Manhattan,Lower East Side,40.71955,-73.99115,Entire home/apt,243,2,1,2019-06-24,1.0,1,97,1.0,2352.0,0
7607,Brooklyn,Bushwick,40.70672,-73.92295,Entire home/apt,200,2,1,2019-05-27,0.7,1,0,0.7,2380.0,0
7608,Brooklyn,Greenpoint,40.73547,-73.9545,Private room,45,28,9,2019-06-01,0.37,1,332,3.33,2375.0,0
7609,Brooklyn,Bushwick,40.69814,-73.9219,Private room,40,2,1,2019-04-30,0.43,1,0,0.43,2407.0,0
7610,Brooklyn,Williamsburg,40.71558,-73.94355,Entire home/apt,149,2,49,2019-07-07,0.73,1,171,35.769999999999996,2339.0,0
7611,Brooklyn,Bushwick,40.6984,-73.91476,Private room,55,1,0,,,1,0,,,0
7612,Manhattan,Upper West Side,40.80343,-73.96796,Private room,120,4,2,2018-06-09,0.15,1,0,0.3,2732.0,0
7613,Brooklyn,Greenpoint,40.73291,-73.95989,Entire home/apt,139,3,36,2019-06-19,4.48,1,58,161.28000000000003,2357.0,0
7614,Manhattan,Financial District,40.70663,-74.0117,Private room,170,1,0,,,1,0,,,0
7615,Brooklyn,Sheepshead Bay,40.58508,-73.93801,Private room,60,1,4,2019-07-06,0.9,1,77,3.6,2340.0,0
7616,Manhattan,Upper West Side,40.77774,-73.97701,Entire home/apt,199,2,0,,,1,0,,,0
7617,Brooklyn,Williamsburg,40.70922,-73.95232,Private room,64,1,25,2019-05-13,0.63,1,0,15.75,2394.0,0
7618,Manhattan,Harlem,40.81791,-73.94246,Private room,65,3,3,2019-07-02,1.8,1,56,5.4,2344.0,0
7619,Manhattan,Lower East Side,40.71973,-73.99338,Entire home/apt,145,2,4,2016-11-05,0.06,1,0,0.24,3313.0,0
7620,Brooklyn,Crown Heights,40.67589,-73.94223,Entire home/apt,180,30,54,2019-06-24,2.98,1,277,160.92,2352.0,0
7621,Manhattan,East Village,40.72868,-73.98635,Private room,90,15,1,2017-04-20,0.04,1,0,0.04,3147.0,0
7622,Manhattan,Greenwich Village,40.72853,-73.99914,Entire home/apt,200,2,146,2019-06-20,3.13,1,264,456.97999999999996,2356.0,0
7623,Manhattan,Upper East Side,40.76189,-73.96298,Private room,69,60,9,2016-04-04,0.16,2,90,1.44,3528.0,0
7624,Brooklyn,Sheepshead Bay,40.58625,-73.94591,Private room,50,1,8,2019-07-05,7.27,3,75,58.16,2341.0,0
7625,Brooklyn,Bedford-Stuyvesant,40.6824,-73.91315,Private room,48,4,7,2019-06-22,0.31,1,2,2.17,2354.0,0
7626,Manhattan,West Village,40.72994,-74.00456,Entire home/apt,275,3,2,2019-01-02,0.29,1,0,0.58,2525.0,0
7627,Bronx,Concourse,40.82023,-73.92844,Entire home/apt,87,1,132,2019-06-29,3.11,2,211,410.52,2347.0,0
7628,Manhattan,Hell's Kitchen,40.76213,-74.00126,Entire home/apt,144,2,2,2019-01-03,0.18,1,0,0.36,2524.0,0
7629,Manhattan,Upper West Side,40.78048,-73.98211,Entire home/apt,200,1,11,2018-05-18,0.26,1,0,2.8600000000000003,2754.0,0
7630,Brooklyn,Prospect Heights,40.67525,-73.96418,Private room,50,1,0,,,1,0,,,0
7631,Brooklyn,Williamsburg,40.71789,-73.9579,Entire home/apt,345,1,75,2019-06-09,3.64,3,243,273.0,2367.0,0
7632,Brooklyn,Bedford-Stuyvesant,40.6933,-73.94976,Entire home/apt,85,1,84,2019-07-01,1.46,1,286,122.64,2345.0,0
7633,Brooklyn,Williamsburg,40.71507,-73.95462,Entire home/apt,305,1,15,2019-07-01,1.89,1,43,28.349999999999998,2345.0,0
7634,Brooklyn,Bedford-Stuyvesant,40.69098,-73.92622,Private room,40,2,2,2017-10-23,0.06,1,0,0.12,2961.0,0
7635,Brooklyn,Williamsburg,40.71246,-73.96084,Private room,79,3,50,2019-06-30,3.53,1,28,176.5,2346.0,0
7636,Manhattan,Washington Heights,40.84393,-73.94065,Private room,83,2,142,2019-06-30,3.55,1,80,504.09999999999997,2346.0,0
7637,Brooklyn,Crown Heights,40.67469,-73.94062,Entire home/apt,270,5,9,2018-12-29,0.25,1,0,2.25,2529.0,0
7638,Brooklyn,Crown Heights,40.67305,-73.92958,Private room,90,2,34,2019-07-02,1.43,1,170,48.62,2344.0,0
7639,Manhattan,Upper East Side,40.77832,-73.95017,Private room,100,30,6,2018-02-24,0.33,1,0,1.98,2837.0,0
7640,Brooklyn,Bensonhurst,40.62062,-73.99837,Entire home/apt,120,7,0,,,2,232,,,0
7641,Brooklyn,Bedford-Stuyvesant,40.69217,-73.93191,Private room,35,30,0,,,1,44,,,0
7642,Manhattan,Civic Center,40.71654,-74.00138,Private room,60,4,23,2017-09-15,0.35,1,0,8.049999999999999,2999.0,0
7643,Brooklyn,Crown Heights,40.66827,-73.93255,Private room,50,1,1,2015-09-06,0.02,1,0,0.02,3739.0,0
7644,Manhattan,Midtown,40.7533,-73.97162,Entire home/apt,275,4,77,2018-12-15,1.84,1,0,141.68,2543.0,0
7645,Queens,Ridgewood,40.70885,-73.89634,Private room,34,30,0,,,23,136,,,0
7646,Manhattan,Hell's Kitchen,40.75607,-73.9941,Entire home/apt,200,3,10,2019-07-05,4.48,1,206,44.800000000000004,2341.0,0
7647,Manhattan,Greenwich Village,40.73094,-73.999,Shared room,110,999,0,,,1,365,,,1
7648,Brooklyn,East New York,40.65698,-73.89212,Private room,45,1,0,,,1,363,,,0
7649,Brooklyn,Clinton Hill,40.69521,-73.96199,Private room,95,30,6,2019-02-28,0.22,11,231,1.32,2468.0,0
7650,Brooklyn,Prospect-Lefferts Gardens,40.65838,-73.96048,Entire home/apt,150,2,9,2018-12-29,0.21,1,6,1.89,2529.0,0
7651,Queens,Ridgewood,40.70279,-73.90601,Private room,45,30,4,2019-06-22,0.48,8,248,1.92,2354.0,0
7652,Brooklyn,Bushwick,40.7066,-73.92115,Private room,75,3,0,,,1,0,,,0
7653,Brooklyn,Bedford-Stuyvesant,40.69467,-73.93594,Private room,56,7,1,2016-08-01,0.03,1,0,0.03,3409.0,0
7654,Brooklyn,Crown Heights,40.67172,-73.95031,Entire home/apt,50,3,3,2018-11-07,0.33,1,0,0.99,2581.0,0
7655,Manhattan,Hell's Kitchen,40.76234,-73.98947,Entire home/apt,199,30,1,2018-08-31,0.1,91,0,0.1,2649.0,0
7656,Brooklyn,Cypress Hills,40.68809,-73.87004,Entire home/apt,70,3,21,2019-07-05,2.97,1,2,62.370000000000005,2341.0,0
7657,Manhattan,East Harlem,40.79004,-73.94846,Shared room,69,1,136,2019-04-04,2.13,4,103,289.68,2433.0,0
7658,Manhattan,Hell's Kitchen,40.76464,-73.99361,Entire home/apt,200,5,46,2019-07-01,2.63,1,228,120.97999999999999,2345.0,0
7659,Brooklyn,Crown Heights,40.67648,-73.9634,Private room,36,1,19,2019-05-31,0.53,2,0,10.07,2376.0,0
7660,Brooklyn,Windsor Terrace,40.6526,-73.97366,Entire home/apt,77,1,5,2017-07-01,0.2,1,0,1.0,3075.0,0
7661,Brooklyn,Park Slope,40.67228,-73.97248,Entire home/apt,185,30,36,2019-05-28,0.58,1,358,20.88,2379.0,0
7662,Manhattan,Little Italy,40.71966,-73.99591,Private room,325,2,5,2018-12-09,0.26,1,0,1.3,2549.0,0
7663,Manhattan,Inwood,40.86786,-73.92077,Private room,50,2,58,2017-10-20,0.96,2,188,55.68,2964.0,0
7664,Brooklyn,Crown Heights,40.67497,-73.95879,Entire home/apt,105,4,2,2014-12-31,0.03,1,0,0.06,3988.0,0
7665,Manhattan,Financial District,40.70518,-74.00881,Private room,88,1,1,2018-08-26,0.09,1,0,0.09,2654.0,0
7666,Queens,Little Neck,40.77444,-73.73373,Entire home/apt,149,3,0,,,1,3,,,0
7667,Brooklyn,Brighton Beach,40.57636,-73.95964,Shared room,100,3,9,2019-07-07,0.78,1,85,7.0200000000000005,2339.0,0
7668,Brooklyn,East Flatbush,40.64645,-73.95047,Private room,85,4,42,2019-06-21,1.46,2,35,61.32,2355.0,0
7669,Brooklyn,Williamsburg,40.70856,-73.95469,Entire home/apt,139,4,2,2017-01-04,0.07,1,0,0.14,3253.0,0
7670,Manhattan,Chelsea,40.74526,-74.00605,Entire home/apt,269,1,4,2019-07-05,4.0,1,122,16.0,2341.0,0
7671,Manhattan,East Village,40.72434,-73.97715,Entire home/apt,120,29,10,2019-01-18,0.17,1,3,1.7000000000000002,2509.0,0
7672,Manhattan,East Village,40.72143,-73.98117,Entire home/apt,189,3,265,2019-06-24,2.99,2,355,792.35,2352.0,0
7673,Brooklyn,Bushwick,40.69566,-73.90687,Entire home/apt,95,3,14,2019-03-24,1.12,1,5,15.680000000000001,2444.0,0
7674,Manhattan,Upper West Side,40.77461,-73.98899,Private room,250,7,3,2015-11-07,0.06,1,0,0.18,3677.0,0
7675,Manhattan,Upper East Side,40.76383,-73.9687,Entire home/apt,169,2,3,2019-06-21,2.65,1,7,7.949999999999999,2355.0,0
7676,Brooklyn,Bushwick,40.69289,-73.92312,Private room,35,1,3,2017-01-11,0.06,1,0,0.18,3246.0,0
7677,Bronx,Concourse,40.82145,-73.92856,Entire home/apt,102,2,24,2019-06-26,2.76,2,288,66.24,2350.0,0
7678,Brooklyn,Bushwick,40.68216,-73.90642,Private room,48,1,4,2019-04-21,0.73,5,166,2.92,2416.0,0
7679,Manhattan,Washington Heights,40.83401,-73.94254,Entire home/apt,45,1,1,2016-02-07,0.02,1,0,0.02,3585.0,0
7680,Brooklyn,Crown Heights,40.66602,-73.94612,Entire home/apt,300,4,28,2019-06-25,1.52,1,179,42.56,2351.0,0
7681,Manhattan,Chelsea,40.73947,-73.99777,Entire home/apt,283,30,0,,,232,334,,,0
7682,Queens,Elmhurst,40.73849,-73.87606,Private room,49,1,65,2019-07-01,1.7,6,355,110.5,2345.0,0
7683,Manhattan,Harlem,40.82491,-73.94774,Entire home/apt,149,31,0,,,4,77,,,0
7684,Brooklyn,Fort Greene,40.68867,-73.97192,Private room,74,7,3,2019-03-27,0.25,1,49,0.75,2441.0,0
7685,Manhattan,Murray Hill,40.74576,-73.97821,Private room,110,1,227,2019-06-30,3.5,1,239,794.5,2346.0,0
7686,Manhattan,Chelsea,40.74566,-73.99092,Private room,120,21,2,2019-06-02,1.54,3,332,3.08,2374.0,0
7687,Brooklyn,Crown Heights,40.66894,-73.93649,Entire home/apt,59,4,34,2019-06-29,2.13,9,49,72.42,2347.0,0
7688,Manhattan,Midtown,40.74662,-73.98965,Entire home/apt,295,1,0,,,1,0,,,0
7689,Manhattan,East Harlem,40.80891,-73.93798,Entire home/apt,100,30,22,2019-01-31,1.05,1,0,23.1,2496.0,0
7690,Manhattan,Kips Bay,40.7425,-73.97704,Entire home/apt,250,3,1,2019-01-01,0.16,1,0,0.16,2526.0,0
7691,Brooklyn,East Flatbush,40.64115,-73.92837,Private room,70,1,0,,,2,0,,,0
7692,Queens,Springfield Gardens,40.66284,-73.76962,Private room,45,1,17,2019-06-11,2.6,3,0,44.2,2365.0,0
7693,Brooklyn,Cobble Hill,40.68631,-73.99763,Private room,59,7,33,2018-10-07,1.67,1,0,55.11,2612.0,0
7694,Brooklyn,Flatbush,40.63641,-73.96712,Private room,35,30,0,,,1,317,,,0
7695,Queens,Forest Hills,40.71588,-73.83266,Entire home/apt,90,1,6,2019-05-19,0.79,1,83,4.74,2388.0,0
7696,Manhattan,Theater District,40.7575,-73.98728,Private room,100,1,0,,,7,300,,,0
7697,Queens,Long Island City,40.756,-73.9205,Private room,60,7,0,,,1,365,,,1
7698,Manhattan,East Village,40.72329,-73.98486,Private room,71,2,182,2019-07-04,1.81,1,200,329.42,2342.0,0
7699,Manhattan,Kips Bay,40.73948,-73.97973,Entire home/apt,150,30,0,,,13,327,,,0
7700,Brooklyn,Greenpoint,40.72549,-73.94912,Private room,95,2,1,2019-06-24,1.0,1,67,1.0,2352.0,0
7701,Brooklyn,Bushwick,40.69658,-73.90773,Private room,55,14,1,2018-08-31,0.1,1,0,0.1,2649.0,0
7702,Manhattan,Tribeca,40.72403,-74.00858,Entire home/apt,200,2,7,2019-05-26,0.29,1,0,2.03,2381.0,0
7703,Brooklyn,Bedford-Stuyvesant,40.68686,-73.95426,Entire home/apt,80,2,8,2019-02-28,0.73,1,0,5.84,2468.0,0
7704,Manhattan,Upper East Side,40.76369,-73.96122,Entire home/apt,200,30,1,2018-04-22,0.07,87,364,0.07,2780.0,0
7705,Queens,Astoria,40.75669,-73.91974,Entire home/apt,74,2,21,2018-09-13,0.89,1,0,18.69,2636.0,0
7706,Manhattan,Harlem,40.80825,-73.95004,Private room,500,1,13,2018-10-03,0.62,2,361,8.06,2616.0,0
7707,Manhattan,Chinatown,40.71655,-73.99224,Entire home/apt,200,1,5,2019-07-01,2.31,1,11,11.55,2345.0,0
7708,Brooklyn,Bedford-Stuyvesant,40.69443,-73.94636,Shared room,40,1,31,2017-01-01,0.91,1,0,28.21,3256.0,0
7709,Manhattan,Tribeca,40.71912,-74.0038,Entire home/apt,499,14,14,2019-03-06,0.78,4,298,10.92,2462.0,0
7710,Brooklyn,Clinton Hill,40.69546,-73.96188,Private room,76,3,163,2019-06-12,5.22,2,53,850.86,2364.0,0
7711,Brooklyn,Borough Park,40.63448,-74.00563,Private room,50,1,2,2019-06-20,0.24,10,365,0.48,2356.0,1
7712,Manhattan,Hell's Kitchen,40.76027,-73.99826,Entire home/apt,399,30,0,,,121,365,,,1
7713,Brooklyn,Bedford-Stuyvesant,40.68571,-73.95792,Entire home/apt,175,3,1,2014-10-24,0.02,2,365,0.02,4056.0,1
7714,Brooklyn,Bedford-Stuyvesant,40.69161,-73.94417,Private room,90,3,1,2017-12-27,0.05,1,0,0.05,2896.0,0
7715,Manhattan,West Village,40.73354,-74.00549,Entire home/apt,250,2,23,2017-01-01,0.58,1,0,13.34,3256.0,0
7716,Manhattan,Harlem,40.80674,-73.95337,Private room,75,1,60,2019-06-27,3.25,2,182,195.0,2349.0,0
7717,Queens,Richmond Hill,40.68979,-73.82974,Private room,33,1,16,2019-05-20,0.53,1,361,8.48,2387.0,0
7718,Brooklyn,Crown Heights,40.6686,-73.93037,Entire home/apt,249,3,193,2019-06-05,3.61,1,344,696.73,2371.0,0
7719,Brooklyn,Prospect-Lefferts Gardens,40.65475,-73.96186,Private room,80,1,24,2017-12-11,0.92,1,0,22.080000000000002,2912.0,0
7720,Manhattan,Washington Heights,40.85663,-73.93564,Private room,50,4,22,2019-07-02,1.46,1,42,32.12,2344.0,0
7721,Manhattan,Lower East Side,40.71857,-73.98867,Private room,75,1,7,2019-06-19,0.55,1,0,3.8500000000000005,2357.0,0
7722,Brooklyn,Williamsburg,40.70889,-73.94357,Entire home/apt,85,60,6,2019-04-29,0.32,1,125,1.92,2408.0,0
7723,Manhattan,Lower East Side,40.7154,-73.98301,Entire home/apt,585,2,1,2019-06-30,1.0,1,97,1.0,2346.0,0
7724,Bronx,Mott Haven,40.81132,-73.91715,Entire home/apt,145,3,1,2019-05-23,0.64,3,48,0.64,2384.0,0
7725,Manhattan,East Village,40.72208,-73.98109,Private room,73,1,116,2019-06-02,4.07,2,238,472.12,2374.0,0
7726,Brooklyn,Bushwick,40.68904,-73.92037,Private room,68,3,16,2019-06-03,1.4,1,139,22.4,2373.0,0
7727,Brooklyn,Windsor Terrace,40.65841,-73.97753,Entire home/apt,50,1,74,2019-06-01,2.03,3,236,150.22,2375.0,0
7728,Queens,Ditmars Steinway,40.77235,-73.91789,Private room,85,5,3,2017-09-04,0.11,1,88,0.33,3010.0,0
7729,Manhattan,Upper East Side,40.76999,-73.94928,Entire home/apt,95,1,89,2019-06-21,3.72,1,0,331.08000000000004,2355.0,0
7730,Manhattan,Upper East Side,40.77032,-73.95498,Entire home/apt,145,7,13,2019-07-01,3.17,1,34,41.21,2345.0,0
7731,Manhattan,Midtown,40.75226,-73.97356,Entire home/apt,269,3,5,2019-05-03,0.36,12,0,1.7999999999999998,2404.0,0
7732,Manhattan,Upper West Side,40.78837,-73.96821,Entire home/apt,245,2,33,2019-06-25,3.14,2,262,103.62,2351.0,0
7733,Manhattan,West Village,40.73435,-74.0066,Entire home/apt,199,30,32,2018-10-06,0.91,1,343,29.12,2613.0,0
7734,Manhattan,West Village,40.73437,-74.00739,Entire home/apt,175,30,0,,,1,0,,,0
7735,Manhattan,East Village,40.73077,-73.98322,Entire home/apt,299,6,0,,,1,140,,,0
7736,Brooklyn,Williamsburg,40.71028,-73.95445,Private room,80,2,4,2016-09-05,0.09,1,0,0.36,3374.0,0
7737,Manhattan,Upper East Side,40.77116,-73.95776,Entire home/apt,130,3,7,2019-06-26,2.84,1,5,19.88,2350.0,0
7738,Queens,Astoria,40.76266,-73.91992,Entire home/apt,250,2,0,,,1,0,,,0
7739,Brooklyn,Clinton Hill,40.69368,-73.96244,Entire home/apt,110,2,2,2017-12-26,0.11,1,0,0.22,2897.0,0
7740,Brooklyn,Williamsburg,40.71753,-73.95742,Entire home/apt,350,2,9,2017-09-07,0.27,1,130,2.43,3007.0,0
7741,Brooklyn,Bedford-Stuyvesant,40.68204,-73.95642,Entire home/apt,180,3,50,2018-10-28,0.97,3,365,48.5,2591.0,1
7742,Brooklyn,Williamsburg,40.70855,-73.96782,Entire home/apt,120,29,1,2019-05-31,0.77,7,0,0.77,2376.0,0
7743,Manhattan,Upper West Side,40.7732,-73.98768,Entire home/apt,148,4,60,2019-06-22,2.42,1,320,145.2,2354.0,0
7744,Manhattan,Hell's Kitchen,40.75786,-73.99485,Entire home/apt,800,1,0,,,1,0,,,0
7745,Brooklyn,Williamsburg,40.70294,-73.94152,Entire home/apt,94,2,29,2019-06-23,1.1,1,1,31.900000000000002,2353.0,0
7746,Bronx,Mount Eden,40.84059,-73.92156,Entire home/apt,150,1,4,2018-05-17,0.28,1,0,1.12,2755.0,0
7747,Bronx,Westchester Square,40.83758,-73.84382,Entire home/apt,72,2,35,2019-06-23,1.52,2,129,53.2,2353.0,0
7748,Manhattan,Midtown,40.76455,-73.97959,Entire home/apt,2500,30,4,2017-04-17,0.13,11,364,0.52,3150.0,0
7749,Brooklyn,Midwood,40.62733,-73.96102,Private room,85,4,38,2019-05-14,0.56,3,81,21.28,2393.0,0
7750,Manhattan,Midtown,40.75514,-73.96746,Entire home/apt,250,3,0,,,1,0,,,0
7751,Brooklyn,Williamsburg,40.71227,-73.957,Entire home/apt,122,30,5,2019-07-02,0.76,1,152,3.8,2344.0,0
7752,Manhattan,Financial District,40.71097,-74.01397,Entire home/apt,180,1,36,2017-05-09,1.05,1,0,37.800000000000004,3128.0,0
7753,Manhattan,Murray Hill,40.74825,-73.98101,Entire home/apt,239,3,3,2019-07-03,3.0,1,158,9.0,2343.0,0
7754,Manhattan,East Village,40.72997,-73.98553,Private room,62,30,0,,,8,341,,,0
7755,Queens,Flushing,40.73858,-73.80809,Private room,65,2,4,2018-10-07,0.28,1,364,1.12,2612.0,0
7756,Manhattan,Hell's Kitchen,40.76651,-73.98752,Entire home/apt,202,30,1,2019-05-31,0.77,96,327,0.77,2376.0,0
7757,Queens,Springfield Gardens,40.68203,-73.75437,Private room,60,1,305,2019-07-07,9.83,2,341,2998.15,2339.0,0
7758,Manhattan,Midtown,40.76039,-73.9736,Private room,587,1,3,2018-10-03,0.16,1,365,0.48,2616.0,1
7759,Manhattan,Morningside Heights,40.81308,-73.95993,Private room,45,31,1,2018-08-31,0.1,1,1,0.1,2649.0,0
7760,Manhattan,Hell's Kitchen,40.75835,-73.99065,Private room,120,1,88,2018-12-14,4.93,3,0,433.84,2544.0,0
7761,Manhattan,Theater District,40.76095,-73.98668,Private room,150,2,3,2017-06-19,0.08,1,0,0.24,3087.0,0
7762,Queens,Elmhurst,40.74059,-73.86866,Private room,50,2,2,2017-12-30,0.11,1,365,0.22,2893.0,1
7763,Manhattan,East Harlem,40.7945,-73.94298,Entire home/apt,90,5,2,2015-09-26,0.04,1,0,0.08,3719.0,0
7764,Manhattan,Upper East Side,40.78069,-73.95149,Entire home/apt,120,3,8,2017-09-21,0.34,1,0,2.72,2993.0,0
7765,Brooklyn,Borough Park,40.64493,-73.99597,Shared room,35,1,0,,,4,362,,,0
7766,Brooklyn,South Slope,40.66537,-73.98559,Entire home/apt,150,3,6,2018-08-19,0.17,1,1,1.02,2661.0,0
7767,Manhattan,Upper West Side,40.79712,-73.96117,Private room,125,1,4,2017-08-15,0.14,1,0,0.56,3030.0,0
7768,Manhattan,Chelsea,40.74144,-73.99984,Entire home/apt,299,2,0,,,1,2,,,0
7769,Manhattan,Hell's Kitchen,40.75873,-73.99197,Private room,180,1,28,2018-05-22,0.73,1,0,20.439999999999998,2750.0,0
7770,Brooklyn,South Slope,40.66537,-73.98784,Private room,300,2,2,2016-09-06,0.06,3,0,0.12,3373.0,0
7771,Manhattan,Financial District,40.70931,-74.00959,Entire home/apt,110,6,5,2017-07-01,0.13,1,0,0.65,3075.0,0
7772,Brooklyn,Gravesend,40.60059,-73.98818,Shared room,35,3,2,2019-04-03,0.32,4,50,0.64,2434.0,0
7773,Brooklyn,Sheepshead Bay,40.58765,-73.94881,Shared room,37,30,0,,,3,84,,,0
7774,Manhattan,Washington Heights,40.83248,-73.94177,Private room,50,3,1,2019-06-21,1.0,1,14,1.0,2355.0,0
7775,Brooklyn,Clinton Hill,40.68618,-73.96603,Private room,98,2,38,2019-02-16,0.5,6,158,19.0,2480.0,0
7776,Manhattan,Midtown,40.75255,-73.98003,Entire home/apt,167,1,0,,,1,0,,,0
7777,Queens,Flushing,40.76153,-73.80304,Private room,38,1,69,2019-02-27,2.19,4,0,151.10999999999999,2469.0,0
7778,Manhattan,Chelsea,40.74476,-73.99862,Entire home/apt,100,4,4,2017-01-03,0.09,1,0,0.36,3254.0,0
7779,Manhattan,Harlem,40.82458,-73.95038,Entire home/apt,150,1,287,2019-06-21,6.57,1,198,1885.5900000000001,2355.0,0
7780,Brooklyn,Williamsburg,40.71763,-73.96008,Private room,50,4,3,2018-05-22,0.16,1,0,0.48,2750.0,0
7781,Brooklyn,Williamsburg,40.71077,-73.95159,Private room,49,7,0,,,1,37,,,0
7782,Manhattan,Chelsea,40.75034,-73.99059,Entire home/apt,250,3,4,2019-06-06,2.35,1,144,9.4,2370.0,0
7783,Brooklyn,Park Slope,40.67687,-73.98171,Entire home/apt,140,4,9,2019-07-01,2.33,1,227,20.97,2345.0,0
7784,Brooklyn,Flatbush,40.65177,-73.96417,Private room,37,2,3,2018-01-25,0.16,1,0,0.48,2867.0,0
7785,Manhattan,Midtown,40.74217,-73.98398,Entire home/apt,299,1,0,,,9,339,,,0
7786,Manhattan,Harlem,40.81482,-73.94477,Private room,75,2,9,2019-07-03,3.75,1,227,33.75,2343.0,0
7787,Manhattan,Inwood,40.86159,-73.92686,Private room,60,1,15,2019-06-24,2.01,9,89,30.15,2352.0,0
7788,Manhattan,Chelsea,40.74122,-73.99963,Entire home/apt,325,2,47,2019-06-30,1.3,1,0,61.1,2346.0,0
7789,Manhattan,East Village,40.72712,-73.98705,Entire home/apt,100,3,18,2019-06-10,0.5,1,20,9.0,2366.0,0
7790,Manhattan,Upper West Side,40.80168,-73.96543,Private room,59,3,68,2019-04-19,1.42,6,319,96.56,2418.0,0
7791,Queens,Springfield Gardens,40.68955,-73.74867,Private room,65,2,10,2019-06-18,2.38,3,68,23.799999999999997,2358.0,0
7792,Manhattan,Harlem,40.8125,-73.94151,Entire home/apt,85,3,35,2019-06-23,1.36,2,40,47.6,2353.0,0
7793,Brooklyn,Williamsburg,40.71024,-73.9517,Private room,105,1,374,2019-06-23,5.06,2,69,1892.4399999999998,2353.0,0
7794,Manhattan,East Village,40.72997,-73.98633,Private room,129,1,11,2016-10-31,0.27,1,0,2.97,3318.0,0
7795,Manhattan,Hell's Kitchen,40.76247,-73.99294,Private room,240,4,77,2019-06-19,1.81,1,21,139.37,2357.0,0
7796,Brooklyn,Bedford-Stuyvesant,40.69064,-73.95664,Entire home/apt,100,1,3,2019-06-23,2.65,1,43,7.949999999999999,2353.0,0
7797,Brooklyn,Flatbush,40.65335,-73.96257,Entire home/apt,120,3,13,2016-08-27,0.28,2,327,3.6400000000000006,3383.0,0
7798,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,1.05,5,280,28.35,2347.0,0
7799,Brooklyn,Bushwick,40.70476,-73.92309,Entire home/apt,150,3,20,2019-06-03,0.8,1,5,16.0,2373.0,0
7800,Brooklyn,Fort Greene,40.68633,-73.97164,Entire home/apt,180,2,15,2019-07-01,0.64,1,4,9.6,2345.0,0
7801,Manhattan,Murray Hill,40.74686,-73.97981,Entire home/apt,200,3,1,2016-11-26,0.03,1,0,0.03,3292.0,0
7802,Brooklyn,Bedford-Stuyvesant,40.6922,-73.9415,Private room,85,3,8,2019-06-30,0.77,2,63,6.16,2346.0,0
7803,Queens,Ditmars Steinway,40.77269,-73.90626,Entire home/apt,90,14,1,2019-01-07,0.16,2,19,0.16,2520.0,0
7804,Brooklyn,Bushwick,40.70084,-73.93033,Private room,80,1,0,,,1,341,,,0
7805,Brooklyn,Midwood,40.62306,-73.96965,Entire home/apt,66,18,0,,,1,0,,,0
7806,Manhattan,East Village,40.72636,-73.98917,Entire home/apt,99,2,280,2019-07-05,2.92,3,257,817.6,2341.0,0
7807,Brooklyn,Bedford-Stuyvesant,40.69331,-73.94918,Entire home/apt,185,1,4,2019-06-26,4.0,1,3,16.0,2350.0,0
7808,Brooklyn,Crown Heights,40.67473,-73.96263,Entire home/apt,120,3,12,2019-03-17,0.18,1,15,2.16,2451.0,0
7809,Manhattan,Harlem,40.81388,-73.95105,Private room,95,5,206,2019-06-21,2.89,1,252,595.34,2355.0,0
7810,Brooklyn,Crown Heights,40.67543,-73.96312,Private room,60,5,1,2016-08-18,0.03,1,0,0.03,3392.0,0
7811,Manhattan,Harlem,40.82124,-73.94973,Entire home/apt,100,2,271,2019-06-30,3.85,2,270,1043.3500000000001,2346.0,0
7812,Manhattan,East Village,40.72745,-73.98362,Private room,75,6,3,2017-01-07,0.06,1,0,0.18,3250.0,0
7813,Manhattan,Chelsea,40.74441,-74.00385,Entire home/apt,350,7,4,2019-06-13,0.43,1,207,1.72,2363.0,0
7814,Manhattan,Washington Heights,40.8349,-73.94829,Entire home/apt,150,3,36,2019-01-01,1.13,1,5,40.67999999999999,2526.0,0
7815,Brooklyn,Bedford-Stuyvesant,40.68185,-73.92854,Private room,78,30,25,2019-05-09,1.35,1,342,33.75,2398.0,0
7816,Manhattan,Hell's Kitchen,40.766,-73.98945,Private room,99,1,134,2019-06-30,4.96,2,176,664.64,2346.0,0
